,topic,model,group,npmiscore
996,29,Topics learned by LightLDA,87.0,0.00446
997,29,Topics learned by LightLDA,88.0,0.0231
998,29,Topics learned by LightLDA,89.0,0.0592
999,29,Topics learned by LightLDA,90.0,-0.03517
1000,29,Topics learned by LightLDA,91.0,-0.01535
1001,29,Topics learned by LightLDA,92.0,0.03735
1002,29,Topics learned by LightLDA,93.0,0.01345
1003,29,Topics learned by LightLDA,94.0,0.02963
1004,29,Topics learned by LightLDA,95.0,0.00575
1005,29,Topics learned by LightLDA,96.0,0.06815
1006,29,Topics learned by LightLDA,97.0,0.02942
1007,29,Topics learned by LightLDA,98.0,0.02112
1008,29,Topics learned by LightLDA,99.0,0.00275
1009,29,Topics learned by LightLDA,100.0,0.01847
1010,98,Topics learned by LightLDA,0.0,0.09805
1011,98,Topics learned by LightLDA,1.0,0.06521
1012,98,Topics learned by LightLDA,2.0,0.0831
1013,98,Topics learned by LightLDA,3.0,0.06194
1014,98,Topics learned by LightLDA,4.0,0.08703
1015,98,Topics learned by LightLDA,5.0,0.06526
1016,98,Topics learned by LightLDA,6.0,0.04046
1017,98,Topics learned by LightLDA,7.0,0.08481
1018,98,Topics learned by LightLDA,8.0,0.058
1019,98,Topics learned by LightLDA,9.0,-0.03798
1020,98,Topics learned by LightLDA,10.0,-0.00025
1021,98,Topics learned by LightLDA,11.0,0.0303
1022,98,Topics learned by LightLDA,12.0,-0.01521
1023,98,Topics learned by LightLDA,13.0,0.03232
1024,98,Topics learned by LightLDA,14.0,0.05929
1025,98,Topics learned by LightLDA,15.0,-0.01053
1026,98,Topics learned by LightLDA,16.0,-0.08459
1027,98,Topics learned by LightLDA,17.0,0.0372
1028,98,Topics learned by LightLDA,18.0,0.00623
1029,98,Topics learned by LightLDA,19.0,0.02167
1030,98,Topics learned by LightLDA,20.0,0.00306
1031,98,Topics learned by LightLDA,21.0,0.02205
1032,98,Topics learned by LightLDA,22.0,0.05611
1033,98,Topics learned by LightLDA,23.0,-0.03265
1034,98,Topics learned by LightLDA,24.0,-0.04421
1035,98,Topics learned by LightLDA,25.0,0.05365
1036,98,Topics learned by LightLDA,26.0,-0.0452
1037,98,Topics learned by LightLDA,27.0,0.01642
1038,98,Topics learned by LightLDA,28.0,-0.09327
1039,98,Topics learned by LightLDA,29.0,0.01566
1040,98,Topics learned by LightLDA,30.0,0.01778
1041,98,Topics learned by LightLDA,31.0,0.03031
1042,98,Topics learned by LightLDA,32.0,-0.05203
1043,98,Topics learned by LightLDA,33.0,0.02951
1044,98,Topics learned by LightLDA,34.0,0.02614
1045,98,Topics learned by LightLDA,35.0,-0.07123
1046,98,Topics learned by LightLDA,36.0,-0.03545
1047,98,Topics learned by LightLDA,37.0,-0.01477
1048,98,Topics learned by LightLDA,38.0,0.0465
1049,98,Topics learned by LightLDA,39.0,-0.02329
1050,98,Topics learned by LightLDA,40.0,0.01816
1051,98,Topics learned by LightLDA,41.0,0.05159
1052,98,Topics learned by LightLDA,42.0,-0.06981
1053,98,Topics learned by LightLDA,43.0,-0.00237
1054,98,Topics learned by LightLDA,44.0,-0.0181
1055,98,Topics learned by LightLDA,45.0,0.03538
1056,98,Topics learned by LightLDA,46.0,0.03564
1057,98,Topics learned by LightLDA,47.0,0.01302
1058,98,Topics learned by LightLDA,48.0,0.01628
1059,98,Topics learned by LightLDA,49.0,0.01038
1060,98,Topics learned by LightLDA,50.0,-0.0025
1061,98,Topics learned by LightLDA,51.0,0.03373
1062,98,Topics learned by LightLDA,52.0,0.02763
1063,98,Topics learned by LightLDA,53.0,0.02433
1064,98,Topics learned by LightLDA,54.0,0.04084
1065,98,Topics learned by LightLDA,55.0,-0.08019
1066,98,Topics learned by LightLDA,56.0,0.04786
1067,98,Topics learned by LightLDA,57.0,-0.01861
1068,98,Topics learned by LightLDA,58.0,-0.08819
1069,98,Topics learned by LightLDA,59.0,-0.02019
1070,98,Topics learned by LightLDA,60.0,-0.0884
1071,98,Topics learned by LightLDA,61.0,-0.02518
1072,98,Topics learned by LightLDA,62.0,0.04113
1073,98,Topics learned by LightLDA,63.0,-0.03707
1074,98,Topics learned by LightLDA,64.0,-0.00502
1075,98,Topics learned by LightLDA,65.0,0.03626
1076,98,Topics learned by LightLDA,66.0,0.00616
1077,98,Topics learned by LightLDA,67.0,0.04678
1078,98,Topics learned by LightLDA,68.0,0.02111
1079,98,Topics learned by LightLDA,69.0,0.02364
1080,98,Topics learned by LightLDA,70.0,-0.03043
1081,98,Topics learned by LightLDA,71.0,-0.03349
1082,98,Topics learned by LightLDA,72.0,0.05726
1083,98,Topics learned by LightLDA,73.0,0.0208
1084,98,Topics learned by LightLDA,74.0,-0.03525
1085,98,Topics learned by LightLDA,75.0,0.04723
1086,98,Topics learned by LightLDA,76.0,-0.01387
1087,98,Topics learned by LightLDA,77.0,0.02878
1088,98,Topics learned by LightLDA,78.0,0.04142
1089,98,Topics learned by LightLDA,79.0,-0.07377
1090,98,Topics learned by LightLDA,80.0,-0.02254
1091,98,Topics learned by LightLDA,81.0,0.02201
1092,98,Topics learned by LightLDA,82.0,0.02602
1093,98,Topics learned by LightLDA,83.0,0.02429
1094,98,Topics learned by LightLDA,84.0,-0.0062
1095,98,Topics learned by LightLDA,85.0,-0.0363
1096,98,Topics learned by LightLDA,86.0,-0.05748
1097,98,Topics learned by LightLDA,87.0,-0.0164
1098,98,Topics learned by LightLDA,88.0,0.00712
1099,98,Topics learned by LightLDA,89.0,-0.04914
1100,98,Topics learned by LightLDA,90.0,-0.01097
1101,98,Topics learned by LightLDA,91.0,0.03184
1102,98,Topics learned by LightLDA,92.0,0.02636
1103,98,Topics learned by LightLDA,93.0,0.01524
1104,98,Topics learned by LightLDA,94.0,-0.07039
1105,98,Topics learned by LightLDA,95.0,0.01427
1106,98,Topics learned by LightLDA,96.0,0.01284
1107,98,Topics learned by LightLDA,97.0,-0.05264
1108,98,Topics learned by LightLDA,98.0,0.02045
1109,98,Topics learned by LightLDA,99.0,-0.03118
1110,98,Topics learned by LightLDA,100.0,0.02445
1111,21,Topics learned by LightLDA,0.0,0.00225
1112,21,Topics learned by LightLDA,1.0,-0.04727
1113,21,Topics learned by LightLDA,2.0,-0.00275
1114,21,Topics learned by LightLDA,3.0,-0.04838
1115,21,Topics learned by LightLDA,4.0,-0.00792
1116,21,Topics learned by LightLDA,5.0,0.0183
1117,21,Topics learned by LightLDA,6.0,-0.0041
1118,21,Topics learned by LightLDA,7.0,-0.0569
1119,21,Topics learned by LightLDA,8.0,-0.01871
1120,21,Topics learned by LightLDA,9.0,-0.0359
1121,21,Topics learned by LightLDA,10.0,-0.04406
1122,21,Topics learned by LightLDA,11.0,-0.06088
1123,21,Topics learned by LightLDA,12.0,-0.02517
1124,21,Topics learned by LightLDA,13.0,-0.0849
1125,21,Topics learned by LightLDA,14.0,-0.05541
1126,21,Topics learned by LightLDA,15.0,-0.04915
1127,21,Topics learned by LightLDA,16.0,-0.0719
1128,21,Topics learned by LightLDA,17.0,-0.04769
1129,21,Topics learned by LightLDA,18.0,-0.02208
1130,21,Topics learned by LightLDA,19.0,-0.02791
1131,21,Topics learned by LightLDA,20.0,-0.03439
1132,21,Topics learned by LightLDA,21.0,-0.01785
1133,21,Topics learned by LightLDA,22.0,-0.03221
1134,21,Topics learned by LightLDA,23.0,-0.03278
1135,21,Topics learned by LightLDA,24.0,-0.01919
1136,21,Topics learned by LightLDA,25.0,-0.0194
1137,21,Topics learned by LightLDA,26.0,-0.0361
1138,21,Topics learned by LightLDA,27.0,-0.0426
1139,21,Topics learned by LightLDA,28.0,-0.06934
1140,21,Topics learned by LightLDA,29.0,-0.0624
1141,21,Topics learned by LightLDA,30.0,-0.07977
1142,21,Topics learned by LightLDA,31.0,-0.03845
1143,21,Topics learned by LightLDA,32.0,-0.04024
1144,21,Topics learned by LightLDA,33.0,-0.04268
1145,21,Topics learned by LightLDA,34.0,-0.0607
1146,21,Topics learned by LightLDA,35.0,-0.0446
1147,21,Topics learned by LightLDA,36.0,-0.03626
1148,21,Topics learned by LightLDA,37.0,-0.0672
1149,21,Topics learned by LightLDA,38.0,-0.03714
1150,21,Topics learned by LightLDA,39.0,-0.05251
1151,21,Topics learned by LightLDA,40.0,-0.03506
1152,21,Topics learned by LightLDA,41.0,-0.06285
1153,21,Topics learned by LightLDA,42.0,-0.02855
1154,21,Topics learned by LightLDA,43.0,-0.07137
1155,21,Topics learned by LightLDA,44.0,-0.08344
1156,21,Topics learned by LightLDA,45.0,-0.10712
1157,21,Topics learned by LightLDA,46.0,-0.02503
1158,21,Topics learned by LightLDA,47.0,-0.08007
1159,21,Topics learned by LightLDA,48.0,-0.01798
1160,21,Topics learned by LightLDA,49.0,-0.04677
1161,21,Topics learned by LightLDA,50.0,-0.0937
1162,21,Topics learned by LightLDA,51.0,-0.0608
1163,21,Topics learned by LightLDA,52.0,-0.03335
1164,21,Topics learned by LightLDA,53.0,-0.0629
1165,21,Topics learned by LightLDA,54.0,-0.07593
1166,21,Topics learned by LightLDA,55.0,-0.04883
1167,21,Topics learned by LightLDA,56.0,-0.05334
1168,21,Topics learned by LightLDA,57.0,-0.05123
1169,21,Topics learned by LightLDA,58.0,-0.06029
1170,21,Topics learned by LightLDA,59.0,-0.09188
1171,21,Topics learned by LightLDA,60.0,-0.04156
1172,21,Topics learned by LightLDA,61.0,-0.07498
1173,21,Topics learned by LightLDA,62.0,-0.05812
1174,21,Topics learned by LightLDA,63.0,-0.06621
1175,21,Topics learned by LightLDA,64.0,-0.04608
1176,21,Topics learned by LightLDA,65.0,-0.04014
1177,21,Topics learned by LightLDA,66.0,-0.06811
1178,21,Topics learned by LightLDA,67.0,-0.08018
1179,21,Topics learned by LightLDA,68.0,-0.0207
1180,21,Topics learned by LightLDA,69.0,-0.05795
1181,21,Topics learned by LightLDA,70.0,-0.02831
1182,21,Topics learned by LightLDA,71.0,-0.03166
1183,21,Topics learned by LightLDA,72.0,-0.04028
1184,21,Topics learned by LightLDA,73.0,-0.07763
1185,21,Topics learned by LightLDA,74.0,-0.06538
1186,21,Topics learned by LightLDA,75.0,-0.05806
1187,21,Topics learned by LightLDA,76.0,-0.07125
1188,21,Topics learned by LightLDA,77.0,-0.04949
1189,21,Topics learned by LightLDA,78.0,-0.05105
1190,21,Topics learned by LightLDA,79.0,-0.06706
1191,21,Topics learned by LightLDA,80.0,-0.02443
1192,21,Topics learned by LightLDA,81.0,-0.07692
1193,21,Topics learned by LightLDA,82.0,-0.03278
1194,21,Topics learned by LightLDA,83.0,-0.03271
1195,21,Topics learned by LightLDA,84.0,-0.07483
1196,21,Topics learned by LightLDA,85.0,-0.03943
1197,21,Topics learned by LightLDA,86.0,-0.04417
1198,21,Topics learned by LightLDA,87.0,-0.0351
1199,21,Topics learned by LightLDA,88.0,-0.07731
1200,21,Topics learned by LightLDA,89.0,-0.0668
1201,21,Topics learned by LightLDA,90.0,-0.04577
1202,21,Topics learned by LightLDA,91.0,-0.08178
1203,21,Topics learned by LightLDA,92.0,-0.05319
1204,21,Topics learned by LightLDA,93.0,-0.09365
1205,21,Topics learned by LightLDA,94.0,-0.03549
1206,21,Topics learned by LightLDA,95.0,-0.05644
1207,21,Topics learned by LightLDA,96.0,-0.03216
1208,21,Topics learned by LightLDA,97.0,-0.05284
1209,21,Topics learned by LightLDA,98.0,-0.02829
1210,21,Topics learned by LightLDA,99.0,-0.05655
1211,21,Topics learned by LightLDA,100.0,-0.04622
1212,5,Topics learned by LightLDA,0.0,0.05808
1213,5,Topics learned by LightLDA,1.0,0.11683
1214,5,Topics learned by LightLDA,2.0,0.01616
1215,5,Topics learned by LightLDA,3.0,0.01809
1216,5,Topics learned by LightLDA,4.0,0.03247
1217,5,Topics learned by LightLDA,5.0,0.04166
1218,5,Topics learned by LightLDA,6.0,0.01101
1219,5,Topics learned by LightLDA,7.0,0.02027
1220,5,Topics learned by LightLDA,8.0,-0.00822
1221,5,Topics learned by LightLDA,9.0,0.0163
1222,5,Topics learned by LightLDA,10.0,-0.00823
1223,5,Topics learned by LightLDA,11.0,-0.02084
1224,5,Topics learned by LightLDA,12.0,0.00018
1225,5,Topics learned by LightLDA,13.0,0.03715
1226,5,Topics learned by LightLDA,14.0,0.04973
1227,5,Topics learned by LightLDA,15.0,0.07575
1228,5,Topics learned by LightLDA,16.0,0.03697
1229,5,Topics learned by LightLDA,17.0,-0.03127
1230,5,Topics learned by LightLDA,18.0,0.03738
1231,5,Topics learned by LightLDA,19.0,-0.05469
1232,5,Topics learned by LightLDA,20.0,0.04387
1233,5,Topics learned by LightLDA,21.0,-0.04732
1234,5,Topics learned by LightLDA,22.0,-0.01081
1235,5,Topics learned by LightLDA,23.0,0.00323
1236,5,Topics learned by LightLDA,24.0,0.07409
1237,5,Topics learned by LightLDA,25.0,0.00604
1238,5,Topics learned by LightLDA,26.0,0.04047
1239,5,Topics learned by LightLDA,27.0,0.00666
1240,5,Topics learned by LightLDA,28.0,0.02587
1241,5,Topics learned by LightLDA,29.0,-0.0494
1242,5,Topics learned by LightLDA,30.0,0.04451
1243,5,Topics learned by LightLDA,31.0,-0.01699
1244,5,Topics learned by LightLDA,32.0,0.03223
1245,5,Topics learned by LightLDA,33.0,0.00177
1246,5,Topics learned by LightLDA,34.0,0.03435
1247,5,Topics learned by LightLDA,35.0,-0.00057
1248,5,Topics learned by LightLDA,36.0,0.0131
1249,5,Topics learned by LightLDA,37.0,-0.00631
1250,5,Topics learned by LightLDA,38.0,-0.05345
1251,5,Topics learned by LightLDA,39.0,0.02455
1252,5,Topics learned by LightLDA,40.0,0.00784
1253,5,Topics learned by LightLDA,41.0,0.02973
1254,5,Topics learned by LightLDA,42.0,-0.03837
1255,5,Topics learned by LightLDA,43.0,0.00861
1256,5,Topics learned by LightLDA,44.0,0.01344
1257,5,Topics learned by LightLDA,45.0,0.06642
1258,5,Topics learned by LightLDA,46.0,0.05177
1259,5,Topics learned by LightLDA,47.0,-0.01748
1260,5,Topics learned by LightLDA,48.0,-0.00813
1261,5,Topics learned by LightLDA,49.0,-0.01505
1262,5,Topics learned by LightLDA,50.0,0.0007
1263,5,Topics learned by LightLDA,51.0,-0.01458
1264,5,Topics learned by LightLDA,52.0,0.03589
1265,5,Topics learned by LightLDA,53.0,-0.07784
1266,5,Topics learned by LightLDA,54.0,-0.03745
1267,5,Topics learned by LightLDA,55.0,0.03239
1268,5,Topics learned by LightLDA,56.0,-0.02721
1269,5,Topics learned by LightLDA,57.0,0.02098
1270,5,Topics learned by LightLDA,58.0,-0.00855
1271,5,Topics learned by LightLDA,59.0,-0.01963
1272,5,Topics learned by LightLDA,60.0,0.01708
1273,5,Topics learned by LightLDA,61.0,-0.02211
1274,5,Topics learned by LightLDA,62.0,-0.00666
1275,5,Topics learned by LightLDA,63.0,0.01989
1276,5,Topics learned by LightLDA,64.0,0.04786
1277,5,Topics learned by LightLDA,65.0,0.06943
1278,5,Topics learned by LightLDA,66.0,-0.04786
1279,5,Topics learned by LightLDA,67.0,0.03516
1280,5,Topics learned by LightLDA,68.0,-0.06304
1281,5,Topics learned by LightLDA,69.0,0.06447
1282,5,Topics learned by LightLDA,70.0,0.01713
1283,5,Topics learned by LightLDA,71.0,-0.09097
1284,5,Topics learned by LightLDA,72.0,0.0107
1285,5,Topics learned by LightLDA,73.0,0.03106
1286,5,Topics learned by LightLDA,74.0,0.01306
1287,5,Topics learned by LightLDA,75.0,0.02695
1288,5,Topics learned by LightLDA,76.0,-0.03193
1289,5,Topics learned by LightLDA,77.0,-0.00421
1290,5,Topics learned by LightLDA,78.0,-0.0336
1291,5,Topics learned by LightLDA,79.0,-0.00524
1292,5,Topics learned by LightLDA,80.0,-0.00092
1293,5,Topics learned by LightLDA,81.0,-0.00844
1294,5,Topics learned by LightLDA,82.0,-0.01879
1295,5,Topics learned by LightLDA,83.0,-0.02987
1296,5,Topics learned by LightLDA,84.0,0.04741
1297,5,Topics learned by LightLDA,85.0,0.02412
1298,5,Topics learned by LightLDA,86.0,0.01061
1299,5,Topics learned by LightLDA,87.0,0.0246
1300,5,Topics learned by LightLDA,88.0,0.02978
1301,5,Topics learned by LightLDA,89.0,0.0076
1302,5,Topics learned by LightLDA,90.0,-0.00136
1303,5,Topics learned by LightLDA,91.0,-0.00833
1304,5,Topics learned by LightLDA,92.0,-0.01319
1305,5,Topics learned by LightLDA,93.0,-0.07085
1306,5,Topics learned by LightLDA,94.0,0.01397
1307,5,Topics learned by LightLDA,95.0,0.03255
1308,5,Topics learned by LightLDA,96.0,0.00677
1309,5,Topics learned by LightLDA,97.0,0.00533
1310,5,Topics learned by LightLDA,98.0,0.05301
1311,5,Topics learned by LightLDA,99.0,0.02059
1312,5,Topics learned by LightLDA,100.0,0.03447
1313,44,Topics learned by LightLDA,0.0,0.04718
1314,44,Topics learned by LightLDA,1.0,0.06856
1315,44,Topics learned by LightLDA,2.0,0.00198
1316,44,Topics learned by LightLDA,3.0,-0.00603
1317,44,Topics learned by LightLDA,4.0,0.00625
1318,44,Topics learned by LightLDA,5.0,0.041
1319,44,Topics learned by LightLDA,6.0,-0.03586
1320,44,Topics learned by LightLDA,7.0,-0.08201
1321,44,Topics learned by LightLDA,8.0,0.03958
1322,44,Topics learned by LightLDA,9.0,-0.03484
1323,44,Topics learned by LightLDA,10.0,-0.03241
1324,44,Topics learned by LightLDA,11.0,-0.0256
1325,44,Topics learned by LightLDA,12.0,-0.03746
1326,44,Topics learned by LightLDA,13.0,-0.02157
1327,44,Topics learned by LightLDA,14.0,0.02142
1328,44,Topics learned by LightLDA,15.0,0.03379
1329,44,Topics learned by LightLDA,16.0,0.05251
1330,44,Topics learned by LightLDA,17.0,-0.02574
1331,44,Topics learned by LightLDA,18.0,0.00053
1332,44,Topics learned by LightLDA,19.0,0.04607
1333,44,Topics learned by LightLDA,20.0,0.00373
1334,44,Topics learned by LightLDA,21.0,0.00402
1335,44,Topics learned by LightLDA,22.0,0.04584
1336,44,Topics learned by LightLDA,23.0,0.00499
1337,44,Topics learned by LightLDA,24.0,-0.02197
1338,44,Topics learned by LightLDA,25.0,0.01141
1339,44,Topics learned by LightLDA,26.0,-0.06051
1340,44,Topics learned by LightLDA,27.0,-0.04827
1341,44,Topics learned by LightLDA,28.0,-0.05111
1342,44,Topics learned by LightLDA,29.0,-0.00735
1343,44,Topics learned by LightLDA,30.0,-0.00798
1344,44,Topics learned by LightLDA,31.0,-0.00451
1345,44,Topics learned by LightLDA,32.0,-0.02191
1346,44,Topics learned by LightLDA,33.0,-0.00358
1347,44,Topics learned by LightLDA,34.0,-0.04763
1348,44,Topics learned by LightLDA,35.0,-0.03308
1349,44,Topics learned by LightLDA,36.0,-0.0628
1350,44,Topics learned by LightLDA,37.0,-0.09795
1351,44,Topics learned by LightLDA,38.0,0.0046
1352,44,Topics learned by LightLDA,39.0,0.01571
1353,44,Topics learned by LightLDA,40.0,-0.05892
1354,44,Topics learned by LightLDA,41.0,-0.08172
1355,44,Topics learned by LightLDA,42.0,-0.02349
1356,44,Topics learned by LightLDA,43.0,0.01169
1357,44,Topics learned by LightLDA,44.0,-0.028
1358,44,Topics learned by LightLDA,45.0,-0.0409
1359,44,Topics learned by LightLDA,46.0,-0.03255
1360,44,Topics learned by LightLDA,47.0,-0.00979
1361,44,Topics learned by LightLDA,48.0,-0.02219
1362,44,Topics learned by LightLDA,49.0,-0.06878
1363,44,Topics learned by LightLDA,50.0,-0.05545
1364,44,Topics learned by LightLDA,51.0,-0.03482
1365,44,Topics learned by LightLDA,52.0,-0.01183
1366,44,Topics learned by LightLDA,53.0,0.00551
1367,44,Topics learned by LightLDA,54.0,0.01902
1368,44,Topics learned by LightLDA,55.0,-0.01158
1369,44,Topics learned by LightLDA,56.0,-0.02853
1370,44,Topics learned by LightLDA,57.0,-0.04161
1371,44,Topics learned by LightLDA,58.0,0.01344
1372,44,Topics learned by LightLDA,59.0,0.01089
1373,44,Topics learned by LightLDA,60.0,0.00937
1374,44,Topics learned by LightLDA,61.0,-0.00626
1375,44,Topics learned by LightLDA,62.0,-0.01585
1376,44,Topics learned by LightLDA,63.0,0.00055
1377,44,Topics learned by LightLDA,64.0,-0.03773
1378,44,Topics learned by LightLDA,65.0,-0.04399
1379,44,Topics learned by LightLDA,66.0,-0.02014
1380,44,Topics learned by LightLDA,67.0,-0.04377
1381,44,Topics learned by LightLDA,68.0,-0.08791
1382,44,Topics learned by LightLDA,69.0,-0.01591
1383,44,Topics learned by LightLDA,70.0,-0.00721
1384,44,Topics learned by LightLDA,71.0,-0.03436
1385,44,Topics learned by LightLDA,72.0,-0.07739
1386,44,Topics learned by LightLDA,73.0,-0.08042
1387,44,Topics learned by LightLDA,74.0,-0.03723
1388,44,Topics learned by LightLDA,75.0,-0.00364
1389,44,Topics learned by LightLDA,76.0,-0.01658
1390,44,Topics learned by LightLDA,77.0,-0.04235
1391,44,Topics learned by LightLDA,78.0,-0.00173
1392,44,Topics learned by LightLDA,79.0,-0.03096
1393,44,Topics learned by LightLDA,80.0,-0.02214
1394,44,Topics learned by LightLDA,81.0,0.00161
1395,44,Topics learned by LightLDA,82.0,-0.11134
1396,44,Topics learned by LightLDA,83.0,-0.05537
1397,44,Topics learned by LightLDA,84.0,-0.01404
1398,44,Topics learned by LightLDA,85.0,-0.00706
1399,44,Topics learned by LightLDA,86.0,-0.04174
1400,44,Topics learned by LightLDA,87.0,-0.03784
1401,44,Topics learned by LightLDA,88.0,-0.07955
1402,44,Topics learned by LightLDA,89.0,-0.06855
1403,44,Topics learned by LightLDA,90.0,-0.07419
1404,44,Topics learned by LightLDA,91.0,-0.03981
1405,44,Topics learned by LightLDA,92.0,-0.02303
1406,44,Topics learned by LightLDA,93.0,-0.02547
1407,44,Topics learned by LightLDA,94.0,-0.04747
1408,44,Topics learned by LightLDA,95.0,-0.03656
1409,44,Topics learned by LightLDA,96.0,-0.06477
1410,44,Topics learned by LightLDA,97.0,0.01083
1411,44,Topics learned by LightLDA,98.0,-0.0665
1412,44,Topics learned by LightLDA,99.0,0.00766
1413,44,Topics learned by LightLDA,100.0,-0.01131
1414,28,Topics learned by LightLDA,0.0,0.12357
1415,28,Topics learned by LightLDA,1.0,0.0997
1416,28,Topics learned by LightLDA,2.0,0.08532
1417,28,Topics learned by LightLDA,3.0,0.04999
1418,28,Topics learned by LightLDA,4.0,0.09009
1419,28,Topics learned by LightLDA,5.0,0.14023
1420,28,Topics learned by LightLDA,6.0,0.02814
1421,28,Topics learned by LightLDA,7.0,0.13007
1422,28,Topics learned by LightLDA,8.0,0.10333
1423,28,Topics learned by LightLDA,9.0,0.10198
1424,28,Topics learned by LightLDA,10.0,0.06101
1425,28,Topics learned by LightLDA,11.0,0.0288
1426,28,Topics learned by LightLDA,12.0,0.07796
1427,28,Topics learned by LightLDA,13.0,0.05763
1428,28,Topics learned by LightLDA,14.0,-0.00988
1429,28,Topics learned by LightLDA,15.0,-0.01352
1430,28,Topics learned by LightLDA,16.0,-0.02459
1431,28,Topics learned by LightLDA,17.0,0.02923
1432,28,Topics learned by LightLDA,18.0,-0.00983
1433,28,Topics learned by LightLDA,19.0,-0.03335
1434,28,Topics learned by LightLDA,20.0,0.04852
1435,28,Topics learned by LightLDA,21.0,0.00621
1436,28,Topics learned by LightLDA,22.0,0.05772
1437,28,Topics learned by LightLDA,23.0,0.00897
1438,28,Topics learned by LightLDA,24.0,0.02282
1439,28,Topics learned by LightLDA,25.0,0.00677
1440,28,Topics learned by LightLDA,26.0,0.05923
1441,28,Topics learned by LightLDA,27.0,0.03779
1442,28,Topics learned by LightLDA,28.0,0.0055
1443,28,Topics learned by LightLDA,29.0,0.02632
1444,28,Topics learned by LightLDA,30.0,0.06809
1445,28,Topics learned by LightLDA,31.0,0.03746
1446,28,Topics learned by LightLDA,32.0,0.09675
1447,28,Topics learned by LightLDA,33.0,0.01546
1448,28,Topics learned by LightLDA,34.0,0.07892
1449,28,Topics learned by LightLDA,35.0,-0.00543
1450,28,Topics learned by LightLDA,36.0,0.00768
1451,28,Topics learned by LightLDA,37.0,-0.05781
1452,28,Topics learned by LightLDA,38.0,0.05111
1453,28,Topics learned by LightLDA,39.0,0.05309
1454,28,Topics learned by LightLDA,40.0,0.02971
1455,28,Topics learned by LightLDA,41.0,0.02486
1456,28,Topics learned by LightLDA,42.0,0.03353
1457,28,Topics learned by LightLDA,43.0,-0.07529
1458,28,Topics learned by LightLDA,44.0,0.0297
1459,28,Topics learned by LightLDA,45.0,0.03598
1460,28,Topics learned by LightLDA,46.0,0.0504
1461,28,Topics learned by LightLDA,47.0,-0.00876
1462,28,Topics learned by LightLDA,48.0,-0.01605
1463,28,Topics learned by LightLDA,49.0,0.02712
1464,28,Topics learned by LightLDA,50.0,0.02129
1465,28,Topics learned by LightLDA,51.0,0.03193
1466,28,Topics learned by LightLDA,52.0,0.05557
1467,28,Topics learned by LightLDA,53.0,0.00519
1468,28,Topics learned by LightLDA,54.0,0.0264
1469,28,Topics learned by LightLDA,55.0,0.03093
1470,28,Topics learned by LightLDA,56.0,0.0338
1471,28,Topics learned by LightLDA,57.0,-0.05778
1472,28,Topics learned by LightLDA,58.0,0.02121
1473,28,Topics learned by LightLDA,59.0,0.07004
1474,28,Topics learned by LightLDA,60.0,0.05181
1475,28,Topics learned by LightLDA,61.0,0.03143
1476,28,Topics learned by LightLDA,62.0,0.01835
1477,28,Topics learned by LightLDA,63.0,-0.0085
1478,28,Topics learned by LightLDA,64.0,0.03217
1479,28,Topics learned by LightLDA,65.0,-0.06477
1480,28,Topics learned by LightLDA,66.0,0.0196
1481,28,Topics learned by LightLDA,67.0,0.0362
1482,28,Topics learned by LightLDA,68.0,0.02516
1483,28,Topics learned by LightLDA,69.0,0.01024
1484,28,Topics learned by LightLDA,70.0,-0.02424
1485,28,Topics learned by LightLDA,71.0,-0.01333
1486,28,Topics learned by LightLDA,72.0,0.03988
1487,28,Topics learned by LightLDA,73.0,0.02679
1488,28,Topics learned by LightLDA,74.0,-0.03024
1489,28,Topics learned by LightLDA,75.0,-0.00866
1490,28,Topics learned by LightLDA,76.0,-0.00684
1491,28,Topics learned by LightLDA,77.0,-0.02773
1492,28,Topics learned by LightLDA,78.0,0.02593
1493,28,Topics learned by LightLDA,79.0,-0.07185
1494,28,Topics learned by LightLDA,80.0,0.02959
1495,28,Topics learned by LightLDA,81.0,0.02081
1496,28,Topics learned by LightLDA,82.0,0.02749
1497,28,Topics learned by LightLDA,83.0,0.05152
1498,28,Topics learned by LightLDA,84.0,0.01575
1499,28,Topics learned by LightLDA,85.0,0.00926
1500,28,Topics learned by LightLDA,86.0,0.05141
1501,28,Topics learned by LightLDA,87.0,0.02529
1502,28,Topics learned by LightLDA,88.0,-0.00213
1503,28,Topics learned by LightLDA,89.0,0.03368
1504,28,Topics learned by LightLDA,90.0,-0.06039
1505,28,Topics learned by LightLDA,91.0,-0.02572
1506,28,Topics learned by LightLDA,92.0,0.03525
1507,28,Topics learned by LightLDA,93.0,0.01104
1508,28,Topics learned by LightLDA,94.0,-0.02029
1509,28,Topics learned by LightLDA,95.0,0.01681
1510,28,Topics learned by LightLDA,96.0,0.00415
1511,28,Topics learned by LightLDA,97.0,0.02162
1512,28,Topics learned by LightLDA,98.0,-0.00861
1513,28,Topics learned by LightLDA,99.0,0.02103
1514,28,Topics learned by LightLDA,100.0,0.04596
1515,79,Topics learned by LightLDA,0.0,-0.04949
1516,79,Topics learned by LightLDA,1.0,-0.07522
1517,79,Topics learned by LightLDA,2.0,-0.10339
1518,79,Topics learned by LightLDA,3.0,-0.13069
1519,79,Topics learned by LightLDA,4.0,-0.10385
1520,79,Topics learned by LightLDA,5.0,-0.07844
1521,79,Topics learned by LightLDA,6.0,-0.09069
1522,79,Topics learned by LightLDA,7.0,-0.08831
